ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
cautiously	1.88000e-01	1.88000e-01	4.48536e+00	2.00000e-01	-3.87530e-04	0.00000e+00	2.39950e-04	-3.12000e-01	8.63220e-04
ceasefire	1.56000e-01	1.56000e-01	2.77778e-02	1.42857e-01	3.03034e-05	0.00000e+00	1.78377e-05	-3.44000e-01	-7.44238e-05
censor	1.49000e-01	1.49000e-01	3.55305e+00	5.00000e-01	-2.28102e-04	0.00000e+00	2.29514e-04	-3.51000e-01	5.71607e-04
chaff	1.72000e-01	1.72000e-01	6.43964e-02	0.00000e+00	-6.22686e-06	0.00000e+00	3.11343e-06	-3.28000e-01	1.45816e-05
challenge	2.81000e-01	2.81000e-01	4.01582e+01	6.95391e+00	-2.27728e-03	0.00000e+00	2.74448e-03	-2.19000e-01	3.56060e-03
change	1.98000e-01	1.98000e-01	5.06123e+02	1.31621e+02	-1.85451e-02	0.00000e+00	3.96674e-02	-3.02000e-01	3.99852e-02
chaos	8.39000e-01	8.39000e-01	1.21491e+01	2.52852e+00	-5.90865e-04	0.00000e+00	8.79334e-04	3.39000e-01	-1.43005e-03
checkpoint	1.72000e-01	1.72000e-01	5.94782e+00	1.36111e+00	-2.60813e-04	0.00000e+00	4.44722e-04	-3.28000e-01	6.10751e-04
chicken	2.34000e-01	2.34000e-01	1.95856e+01	4.27308e+00	-9.07079e-04	0.00000e+00	1.44030e-03	-2.66000e-01	1.72262e-03
cholera	7.50000e-01	7.50000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e-01	0.00000e+00
civilian	6.20000e-02	6.20000e-02	4.76881e+00	1.00000e-01	-4.38031e-04	0.00000e+00	2.42108e-04	-4.38000e-01	1.36975e-03
civilians	6.20000e-02	6.20000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-4.38000e-01	0.00000e+00
claustrophobia	8.03000e-01	8.03000e-01	3.65259e-01	1.50000e+00	3.11070e-04	0.00000e+00	1.90854e-04	3.03000e-01	6.72918e-04
claustrophobic	7.65000e-01	7.65000e-01	4.12629e+00	6.42857e-01	-2.50542e-04	0.00000e+00	2.73723e-04	2.65000e-01	-4.74011e-04
cloak	2.66000e-01	2.66000e-01	7.42361e+00	2.71070e+00	-9.18604e-05	0.00000e+00	6.71901e-04	-2.34000e-01	1.53464e-04
cloudiness	6.20000e-02	6.20000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-4.38000e-01	0.00000e+00
clown	1.25000e-01	1.25000e-01	7.85070e+00	9.21128e+00	1.36799e-03	0.00000e+00	1.44313e-03	-3.75000e-01	-3.66249e-03
clowns	2.07000e-01	2.07000e-01	2.70270e-03	0.00000e+00	-2.61340e-07	0.00000e+00	1.30670e-07	-2.93000e-01	5.46682e-07
cobra	7.03000e-01	7.03000e-01	4.34173e-01	1.02000e+00	1.93562e-04	0.00000e+00	1.38764e-04	2.03000e-01	2.80529e-04
collapse	7.03000e-01	7.03000e-01	2.69103e+01	7.55929e+00	-8.56479e-04	0.00000e+00	2.17387e-03	2.03000e-01	-1.24129e-03
combat	7.28000e-01	7.28000e-01	1.04031e+01	1.25758e+00	-7.15527e-04	0.00000e+00	6.48170e-04	2.28000e-01	-1.16472e-03
compassion	7.80000e-02	7.80000e-02	3.18603e+00	1.42361e+00	2.06733e-05	0.00000e+00	3.18412e-04	-4.22000e-01	-6.22849e-05
competition	1.72000e-01	1.72000e-01	3.10294e+01	5.81698e+00	-1.65712e-03	0.00000e+00	2.17185e-03	-3.28000e-01	3.88051e-03
composure	1.72000e-01	1.72000e-01	5.05813e-01	1.42857e-01	-1.59206e-05	0.00000e+00	4.09497e-05	-3.28000e-01	3.72815e-05
confession	2.66000e-01	2.66000e-01	5.47642e-01	0.00000e+00	-5.29546e-05	0.00000e+00	2.64773e-05	-2.34000e-01	8.84670e-05
confessional	2.25000e-01	2.25000e-01	9.58508e-02	0.00000e+00	-9.26836e-06	0.00000e+00	4.63418e-06	-2.75000e-01	1.81969e-05
confidence	1.09000e-01	1.09000e-01	1.26559e+01	2.00000e+00	-7.61915e-04	0.00000e+00	8.42809e-04	-3.91000e-01	2.12689e-03
confident	9.40000e-02	9.40000e-02	2.20176e+01	3.67045e+00	-1.28140e-03	0.00000e+00	1.48831e-03	-4.06000e-01	3.71428e-03
confusion	2.81000e-01	2.81000e-01	2.04870e+01	3.32329e+00	-1.21357e-03	0.00000e+00	1.37422e-03	-2.19000e-01	1.89745e-03
contagious	7.20000e-01	7.20000e-01	1.03873e+00	1.00000e+00	1.30485e-04	0.00000e+00	1.65684e-04	2.20000e-01	2.04948e-04
cop	2.73000e-01	2.73000e-01	5.91997e+01	2.11408e+01	-8.42402e-04	0.00000e+00	5.30315e-03	-2.27000e-01	1.36523e-03
counsellor	9.40000e-02	9.40000e-02	1.62610e+00	0.00000e+00	-1.57237e-04	0.00000e+00	7.86183e-05	-4.06000e-01	4.55765e-04
countdown	1.56000e-01	1.56000e-01	8.04246e-01	0.00000e+00	-7.77671e-05	0.00000e+00	3.88836e-05	-3.44000e-01	1.90992e-04
courageous	1.54000e-01	1.54000e-01	2.59786e-01	0.00000e+00	-2.51202e-05	0.00000e+00	1.25601e-05	-3.46000e-01	6.20527e-05
court	2.84000e-01	2.84000e-01	2.47853e+01	5.37333e+00	-1.15579e-03	0.00000e+00	1.81874e-03	-2.16000e-01	1.78236e-03
cove	1.41000e-01	1.41000e-01	2.84346e+00	2.50000e-01	-2.17219e-04	0.00000e+00	1.66341e-04	-3.59000e-01	5.56743e-04
coy	1.62000e-01	1.62000e-01	1.11437e+00	0.00000e+00	-1.07755e-04	0.00000e+00	5.38773e-05	-3.38000e-01	2.60024e-04
crash	7.34000e-01	7.34000e-01	8.33901e+01	2.32893e+01	-2.68535e-03	0.00000e+00	6.72079e-03	2.34000e-01	-4.48621e-03
crime	7.19000e-01	7.19000e-01	9.71325e+00	2.24519e+00	-4.20756e-04	0.00000e+00	7.28851e-04	2.19000e-01	-6.57864e-04
criminal	7.66000e-01	7.66000e-01	1.04428e+01	2.55154e+00	-4.20553e-04	0.00000e+00	7.99494e-04	2.66000e-01	-7.98663e-04
cripple	7.03000e-01	7.03000e-01	1.21452e+00	1.00000e+00	1.13487e-04	0.00000e+00	1.74182e-04	2.03000e-01	1.64476e-04
crippling	8.17000e-01	8.17000e-01	6.46470e-01	0.00000e+00	-6.25109e-05	0.00000e+00	3.12554e-05	3.17000e-01	-1.41474e-04
crisis	7.66000e-01	7.66000e-01	2.50455e+00	5.30303e-01	-1.19718e-04	0.00000e+00	1.82320e-04	2.66000e-01	-2.27354e-04
cross	2.03000e-01	2.03000e-01	7.61373e+01	2.43833e+01	-1.73143e-03	0.00000e+00	6.49644e-03	-2.97000e-01	3.67132e-03
crouch	2.66000e-01	2.66000e-01	1.56337e+01	6.33375e+00	-4.90885e-05	0.00000e+00	1.48717e-03	-2.34000e-01	8.20083e-05
crouching	2.97000e-01	2.97000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.03000e-01	0.00000e+00
crowds	2.66000e-01	2.66000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.34000e-01	0.00000e+00
crucifixion	8.91000e-01	8.91000e-01	2.50000e-02	5.00000e-02	9.12890e-06	0.00000e+00	6.98184e-06	3.91000e-01	2.54834e-05
cruelty	7.97000e-01	7.97000e-01	1.75050e+00	1.00000e+00	6.16603e-05	0.00000e+00	2.00096e-04	2.97000e-01	1.30745e-04
crushed	8.12000e-01	8.12000e-01	5.12012e-01	5.00000e-01	6.59536e-05	0.00000e+00	8.24862e-05	3.12000e-01	1.46911e-04
cupping	2.66000e-01	2.66000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.34000e-01	0.00000e+00
cursed	7.34000e-01	7.34000e-01	4.37401e-02	0.00000e+00	-4.22948e-06	0.00000e+00	2.11474e-06	2.34000e-01	-7.06585e-06
cyanide	7.97000e-01	7.97000e-01	1.28186e+00	5.00000e-01	-8.48719e-06	0.00000e+00	1.19707e-04	2.97000e-01	-1.79963e-05
damnation	8.12000e-01	8.12000e-01	7.39084e-02	0.00000e+00	-7.14663e-06	0.00000e+00	3.57332e-06	3.12000e-01	-1.59191e-05
danger	8.02000e-01	8.02000e-01	3.30282e+01	6.14556e+00	-1.77452e-03	0.00000e+00	2.30643e-03	3.02000e-01	-3.82604e-03
dangerous	7.50000e-01	7.50000e-01	3.61115e+01	1.35540e+01	-3.61857e-04	0.00000e+00	3.31090e-03	2.50000e-01	-6.45861e-04
dangerously	7.66000e-01	7.66000e-01	1.31778e+00	1.42857e-01	-9.44340e-05	0.00000e+00	8.02064e-05	2.66000e-01	-1.79338e-04
dashed	2.97000e-01	2.97000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.03000e-01	0.00000e+00
dawned	1.50000e-01	1.50000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-3.50000e-01	0.00000e+00
deadlines	1.88000e-01	1.88000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-3.12000e-01	0.00000e+00
deadly	8.75000e-01	8.75000e-01	6.55007e+00	4.30213e+00	3.60109e-04	0.00000e+00	8.13418e-04	3.75000e-01	9.64112e-04
death	8.43000e-01	8.43000e-01	7.35940e+01	3.84185e+01	1.75561e-03	0.00000e+00	7.99403e-03	3.43000e-01	4.29915e-03
default	2.26000e-01	2.26000e-01	3.31266e+00	0.00000e+00	-3.20320e-04	0.00000e+00	1.60160e-04	-2.74000e-01	6.26609e-04
defend	2.50000e-01	2.50000e-01	2.71775e+01	8.72519e+00	-6.13071e-04	0.00000e+00	2.32141e-03	-2.50000e-01	1.09424e-03
defense	2.58000e-01	2.58000e-01	5.78931e+00	2.42917e+00	1.15636e-06	0.00000e+00	5.60379e-04	-2.42000e-01	-1.99789e-06
deflation	2.97000e-01	2.97000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.03000e-01	0.00000e+00
delay	1.41000e-01	1.41000e-01	7.54238e+00	7.91125e-01	-5.46624e-04	0.00000e+00	4.56003e-04	-3.59000e-01	1.40102e-03
deluge	2.87000e-01	2.87000e-01	9.50047e-02	6.25000e-02	5.24632e-06	0.00000e+00	1.18097e-05	-2.13000e-01	-7.97804e-06
delusional	2.50000e-01	2.50000e-01	3.16138e+00	2.14000e+00	1.88489e-04	0.00000e+00	3.99937e-04	-2.50000e-01	-3.36425e-04
demon	9.06000e-01	9.06000e-01	7.00339e+01	4.72057e+01	4.12904e-03	0.00000e+00	8.83649e-03	4.06000e-01	1.19684e-02
demonic	8.59000e-01	8.59000e-01	8.59638e+00	1.01804e+01	1.51968e-03	0.00000e+00	1.59107e-03	3.59000e-01	3.89501e-03
dependence	2.34000e-01	2.34000e-01	2.70270e-03	0.00000e+00	-2.61340e-07	0.00000e+00	1.30670e-07	-2.66000e-01	4.96305e-07
depraved	7.34000e-01	7.34000e-01	8.92857e-03	0.00000e+00	-8.63355e-07	0.00000e+00	4.31677e-07	2.34000e-01	-1.44234e-06
depreciated	2.97000e-01	2.97000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-2.03000e-01	0.00000e+00
deranged	7.03000e-01	7.03000e-01	5.35124e-01	4.04762e-01	4.17258e-05	0.00000e+00	7.26071e-05	2.03000e-01	6.04732e-05
desperation	7.19000e-01	7.19000e-01	1.78891e+00	2.20000e+00	3.35057e-04	0.00000e+00	3.40508e-04	2.19000e-01	5.23871e-04
