ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
crime	7.190000e-01	7.190000e-01	2.357066e+01	4.494719e+00	-7.795252e-04	0.000000e+00	1.020221e-03	2.190000e-01	-1.317705e-03
criminal	7.660000e-01	7.660000e-01	2.010543e+01	2.301544e+00	-8.798665e-04	0.000000e+00	7.627629e-04	2.660000e-01	-1.806518e-03
cripple	7.030000e-01	7.030000e-01	9.666478e-01	1.000000e+00	8.244223e-05	0.000000e+00	9.904546e-05	2.030000e-01	1.291783e-04
crippling	8.170000e-01	8.170000e-01	6.464696e-01	2.000000e+00	2.418617e-04	0.000000e+00	1.596023e-04	3.170000e-01	5.917935e-04
crisis	7.660000e-01	7.660000e-01	4.154615e+00	9.090909e-02	-2.357753e-04	0.000000e+00	1.306392e-04	2.660000e-01	-4.840874e-04
cross	2.030000e-01	2.030000e-01	1.665856e+02	4.926366e+01	-3.055012e-03	0.000000e+00	8.437551e-03	-2.970000e-01	7.003470e-03
crouch	2.660000e-01	2.660000e-01	2.188755e+01	7.848269e+00	-2.084517e-04	0.000000e+00	1.205076e-03	-2.340000e-01	3.765001e-04
crouching	2.970000e-01	2.970000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.030000e-01	0.000000e+00
crowds	2.660000e-01	2.660000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.340000e-01	0.000000e+00
crucifixion	8.910000e-01	8.910000e-01	2.500000e-02	5.000000e-02	5.517842e-06	0.000000e+00	4.254408e-06	3.910000e-01	1.665290e-05
cruelty	7.970000e-01	7.970000e-01	3.142434e+00	1.000000e+00	-4.771213e-05	0.000000e+00	1.641226e-04	2.970000e-01	-1.093778e-04
crushed	8.120000e-01	8.120000e-01	5.120120e-01	5.000000e-01	3.950501e-05	0.000000e+00	5.038078e-05	3.120000e-01	9.513725e-05
cupping	2.660000e-01	2.660000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.340000e-01	0.000000e+00
